"Id","Firstname","Lastname","Gender","Birthdate","Email","Phone","NationalPlayerNumber","InternationalPlayerNumber",
"1","He","Man","male",1980-01-"01",a@a."a",040-"12345","10","100",
"2","She","Ra","female",1980-02-"02",a@a."a",040-"12345","11","101",
"3","Beast","Man","male",1980-01-"02",a@a."a",040-"12345","12","102",
"4",Man-"At","Arms","male",1980-02-"03",a@a."a",040-"12345","13","103",
"5","Ram","Man","male",1980-01-"03",a@a."a",040-"12345","14","104",
"6","Tee","La","female",1980-02-"04",a@a."a",040-"12345","15","105",
"7","Moss","Man","male",1980-01-"04",a@a."a",040-"12345","16","106",
"8","Clamp","Champ","male",1980-02-"05",a@a."a",040-"12345","17","107",
"9","Battle","Cat","male",1980-01-"05",a@a."a",040-"12345","18","108",
"10","Skele","Tor","male",1980-01-"01",a@a."a",040-"12345","19","109",
"11","Beast","Man","male",1980-02-"02",a@a."a",040-"12345","20","110",
"12","Tri","Klops","male",1980-01-"02",a@a."a",040-"12345","21","111",
"13","Trap","Jaw","male",1980-02-"03",a@a."a",040-"12345","22","112",
"14","Web","Stor","male",1980-01-"03",a@a."a",040-"12345","23","113",
"15","Scare","Glow","male",1980-02-"04",a@a."a",040-"12345","24","114",
"16","Fang","Man","male",1980-01-"04",a@a."a",040-"12345","25","115",
"17","King","Hiss","male",1980-02-"05",a@a."a",040-"12345","26","116",
"18","Tung","Lashor","male",1980-01-"05",a@a."a",040-"12345","27","117",
